Tag,Quantity,Name,Language,Foil,Edition CODE,Edition,Condition,Collector's number,Color
"Promo","1","Archpriest of Iona","Portuguese","","ZNR","Zendikar Rising","Near Mint","5","White"
"","2","Confounding Conundrum","Portuguese","","ZNR","Zendikar Rising","Near Mint","53","Blue"
"Promo","1","Coveted Prize","Portuguese","","ZNR","Zendikar Rising","Near Mint","95","Black"
"Promo","1","Master of Winds","Portuguese","","ZNR","Zendikar Rising","Near Mint","68","Blue"
"Promo","1","Shadows' Verdict","Portuguese","","ZNR","Zendikar Rising","Near Mint","124","Black"
"","1","Celestial Colonnade","English","","WWK","Worldwake","Slightly Played","133","Land"
"","1","Mind Stone","Portuguese","Foil","PW21","Wizards Play Network 2021","Near Mint","5",""
"","1","Midnight Clock","Portuguese","","WOC","Wilds of Eldraine Commander","Near Mint","99","Blue"
"Promo","1","The End","Portuguese","","WOE","Wilds of Eldraine","Near Mint","87","Black"
"","1","Blast Zone","Portuguese","","WAR","War of the Spark","Near Mint","244","Land"
"","1","Kiora, Behemoth Beckoner","Japanese","","WAR","War of the Spark","Near Mint","232★","Blue/Green"
"","1","Krenko, Tin Street Kingpin","English","","WAR","War of the Spark","Slightly Played","137","Red"
"","1","Mayhem Devil","English","","WAR","War of the Spark","Near Mint","204","Black/Red"
"","3","Mayhem Devil","Portuguese","","WAR","War of the Spark","Near Mint","204","Black/Red"
"","1","Niv-Mizzet Reborn","English","","WAR","War of the Spark","Near Mint","208","White/Blue/Black/Red/Green"
"","1","Impulse","Portuguese","","VIS","Visions","Moderately Played","34","Blue"
"","1","Creeping Tar Pit","English","","UMA","Ultimate Masters","Near Mint","239","Land"
"","2","Murderous Redcap","English","","UMA","Ultimate Masters","Near Mint","217","Black/Red"
"","3","Treasure Cruise","English","","UMA","Ultimate Masters","Near Mint","79","Blue"
"","1","Coalition Relic","Portuguese","","TSR","Time Spiral Remastered","Near Mint","266",""
"","1","Eternal Witness","English","","TSR","Time Spiral Remastered","Near Mint","361","Green"
"Promo","1","Castle Ardenvale","Portuguese","","ELD","Throne of Eldraine","Near Mint","238","Land"
"","1","Castle Embereth","Portuguese","","ELD","Throne of Eldraine","Near Mint","239","Land"
"","1","Escape to the Wilds","Portuguese","","ELD","Throne of Eldraine","Near Mint","189","Red/Green"
